Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ventricular septum morphogenesis (GO:0060412)	1/21	0.07003780282860121	0.21537550832294428	0	0	14.640441176470588	38.92483584794597	SOX11
negative regulation of viral process (GO:0048525)	1/21	0.07003780282860121	0.21537550832294428	0	0	14.640441176470588	38.92483584794597	PTX3
embryonic skeletal system morphogenesis (GO:0048704)	1/21	0.07003780282860121	0.21537550832294428	0	0	14.640441176470588	38.92483584794597	SOX11
negative regulation of nervous system development (GO:0051961)	1/22	0.07324953836364095	0.21537550832294428	0	0	13.942577030812325	36.444269724198726	ROBO2
regulation of microtubule depolymerization (GO:0031114)	1/22	0.07324953836364095	0.21537550832294428	0	0	13.942577030812325	36.444269724198726	STMN2
regulation of calcium ion import (GO:0090279)	1/22	0.07324953836364095	0.21537550832294428	0	0	13.942577030812325	36.444269724198726	STC1
positive regulation of RNA splicing (GO:0033120)	1/22	0.07324953836364095	0.21537550832294428	0	0	13.942577030812325	36.444269724198726	CELF3
negative regulation of protein polymerization (GO:0032272)	1/22	0.07324953836364095	0.21537550832294428	0	0	13.942577030812325	36.444269724198726	STMN2
sulfur amino acid metabolic process (GO:0000096)	1/22	0.07324953836364095	0.21537550832294428	0	0	13.942577030812325	36.444269724198726	MSRA
cellular response to nerve growth factor stimulus (GO:1990090)	1/22	0.07324953836364095	0.21537550832294428	0	0	13.942577030812325	36.444269724198726	STMN2
regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178)	1/22	0.07324953836364095	0.21537550832294428	0	0	13.942577030812325	36.444269724198726	EPHA5
triglyceride catabolic process (GO:0019433)	1/22	0.07324953836364095	0.21537550832294428	0	0	13.942577030812325	36.444269724198726	FABP7
metanephros development (GO:0001656)	1/23	0.07645034215035326	0.21827126671912453	0	0	13.308155080213904	34.216782125997526	ROBO2
neuronal action potential (GO:0019228)	1/23	0.07645034215035326	0.21827126671912453	0	0	13.308155080213904	34.216782125997526	SCN3A
microtubule polymerization or depolymerization (GO:0031109)	1/23	0.07645034215035326	0.21827126671912453	0	0	13.308155080213904	34.216782125997526	STMN2
membrane assembly (GO:0071709)	1/23	0.07645034215035326	0.21827126671912453	0	0	13.308155080213904	34.216782125997526	PTPRD
chemical synaptic transmission (GO:0007268)	3/289	0.0780920537951932	0.21942838338806986	0	0	3.1222186904005085	7.961242315803966	GRID2;GRIK2;CACNA1E
macromolecule modification (GO:0043412)	1/24	0.0796402508235888	0.21942838338806986	0	0	12.728900255754477	32.20711721652364	ST6GAL2
positive regulation of microtubule polymerization or depolymerization (GO:0031112)	1/24	0.0796402508235888	0.21942838338806986	0	0	12.728900255754477	32.20711721652364	STMN2
mRNA splice site selection (GO:0006376)	1/24	0.0796402508235888	0.21942838338806986	0	0	12.728900255754477	32.20711721652364	CELF2
regulation of neuronal synaptic plasticity (GO:0048168)	1/24	0.0796402508235888	0.21942838338806986	0	0	12.728900255754477	32.20711721652364	GRIK2
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	1/25	0.08281930091718732	0.22349866137925894	0	0	12.197916666666666	30.386158751602967	VCAN
glial cell differentiation (GO:0010001)	1/25	0.08281930091718732	0.22349866137925894	0	0	12.197916666666666	30.386158751602967	SOX11
protein depolymerization (GO:0051261)	1/25	0.08281930091718732	0.22349866137925894	0	0	12.197916666666666	30.386158751602967	STMN2
cytoskeleton-dependent intracellular transport (GO:0030705)	1/26	0.0859875288365276	0.22586057574394583	0	0	11.709411764705882	28.729662442835576	TUBA1C
regulation of cardiac muscle cell contraction (GO:0086004)	1/26	0.0859875288365276	0.22586057574394583	0	0	11.709411764705882	28.729662442835576	STC1
regulation of transcription regulatory region DNA binding (GO:2000677)	1/26	0.0859875288365276	0.22586057574394583	0	0	11.709411764705882	28.729662442835576	SOX11
regulation of viral entry into host cell (GO:0046596)	1/26	0.0859875288365276	0.22586057574394583	0	0	11.709411764705882	28.729662442835576	PTX3
neuron development (GO:0048666)	2/144	0.08841480275273476	0.2306982270501821	0	0	4.159974774017238	10.090916833969889	EPHA5;STMN2
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	1/27	0.08914497089070929	0.23107314822986486	0	0	11.258484162895927	27.217288055780262	STMN2
regulation of vasculature development (GO:1901342)	1/28	0.09229166323184414	0.23309561098299095	0	0	10.840958605664488	25.83185203747669	VASH2
ventricular septum development (GO:0003281)	1/28	0.09229166323184414	0.23309561098299095	0	0	10.840958605664488	25.83185203747669	SOX11
calcium ion import (GO:0070509)	1/28	0.09229166323184414	0.23309561098299095	0	0	10.840958605664488	25.83185203747669	CACNA1E
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	1/28	0.09229166323184414	0.23309561098299095	0	0	10.840958605664488	25.83185203747669	SOX11
collagen fibril organization (GO:0030199)	1/29	0.0954276419328769	0.2339148163143031	0	0	10.453256302521009	24.558744410167414	COL11A1
lung development (GO:0030324)	1/29	0.0954276419328769	0.2339148163143031	0	0	10.453256302521009	24.558744410167414	SOX11
regulation of cellular biosynthetic process (GO:0031326)	1/29	0.0954276419328769	0.2339148163143031	0	0	10.453256302521009	24.558744410167414	IGF2BP3
negative regulation of lymphocyte proliferation (GO:0050672)	1/29	0.0954276419328769	0.2339148163143031	0	0	10.453256302521009	24.558744410167414	SOX11
positive regulation of cation channel activity (GO:2001259)	1/30	0.098552942914148	0.2339148163143031	0	0	10.092292089249494	23.385469502095955	LRRC55
hippo signaling (GO:0035329)	1/30	0.098552942914148	0.2339148163143031	0	0	10.092292089249494	23.385469502095955	DCHS1
acylglycerol catabolic process (GO:0046464)	1/30	0.098552942914148	0.2339148163143031	0	0	10.092292089249494	23.385469502095955	FABP7
chondroitin sulfate metabolic process (GO:0030204)	1/30	0.098552942914148	0.2339148163143031	0	0	10.092292089249494	23.385469502095955	VCAN
aminoglycan metabolic process (GO:0006022)	1/30	0.098552942914148	0.2339148163143031	0	0	10.092292089249494	23.385469502095955	VCAN
phosphatidylinositol 3-kinase signaling (GO:0014065)	1/30	0.098552942914148	0.2339148163143031	0	0	10.092292089249494	23.385469502095955	NYAP2
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	4/512	0.1004982557139467	0.23397963265825977	0	0	2.352877044215627	5.406005372807306	FOXG1;IGF2BP3;POU3F3;RUNX1T1
skeletal system morphogenesis (GO:0048705)	1/31	0.10166760200422945	0.23397963265825977	0	0	9.755392156862746	22.301280984489107	SOX11
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042)	1/31	0.10166760200422945	0.23397963265825977	0	0	9.755392156862746	22.301280984489107	SCRT2
axon guidance (GO:0007411)	2/158	0.10334816470055203	0.23397963265825977	0	0	3.783964791427478	8.58828231500282	ROBO2;EPHA5
cyclic-nucleotide-mediated signaling (GO:0019935)	1/32	0.10477165490425638	0.23397963265825977	0	0	9.440227703984819	21.296889488505485	EPHA5
endodermal cell differentiation (GO:0035987)	1/32	0.10477165490425638	0.23397963265825977	0	0	9.440227703984819	21.296889488505485	COL11A1
positive regulation of dendrite development (GO:1900006)	1/32	0.10477165490425638	0.23397963265825977	0	0	9.440227703984819	21.296889488505485	PTPRD
central nervous system neuron differentiation (GO:0021953)	1/32	0.10477165490425638	0.23397963265825977	0	0	9.440227703984819	21.296889488505485	GRID2
negative regulation of fat cell differentiation (GO:0045599)	1/32	0.10477165490425638	0.23397963265825977	0	0	9.440227703984819	21.296889488505485	RUNX1T1
chemical synaptic transmission, postsynaptic (GO:0099565)	1/33	0.10786513718526013	0.23397963265825977	0	0	9.144761029411764	20.364226566626183	GRID2
embryonic organ morphogenesis (GO:0048562)	1/33	0.10786513718526013	0.23397963265825977	0	0	9.144761029411764	20.364226566626183	SOX11
regulation of postsynaptic membrane potential (GO:0060078)	1/33	0.10786513718526013	0.23397963265825977	0	0	9.144761029411764	20.364226566626183	GRID2
positive regulation of calcium ion transport (GO:0051928)	1/33	0.10786513718526013	0.23397963265825977	0	0	9.144761029411764	20.364226566626183	STC1
neuron projection morphogenesis (GO:0048812)	2/163	0.1088402211621703	0.23397963265825977	0	0	3.665523315101511	8.129670077854106	NYAP2;LRRC55
bone development (GO:0060348)	1/34	0.11094808432236665	0.23397963265825977	0	0	8.867201426024955	19.49625278180184	STC1
negative regulation of DNA binding (GO:0043392)	1/34	0.11094808432236665	0.23397963265825977	0	0	8.867201426024955	19.49625278180184	SOX11
negative regulation of cellular metabolic process (GO:0031324)	1/34	0.11094808432236665	0.23397963265825977	0	0	8.867201426024955	19.49625278180184	PTX3
negative regulation of endothelial cell migration (GO:0010596)	1/34	0.11094808432236665	0.23397963265825977	0	0	8.867201426024955	19.49625278180184	STC1
positive regulation of cell development (GO:0010720)	1/34	0.11094808432236665	0.23397963265825977	0	0	8.867201426024955	19.49625278180184	SOX11
neuron projection development (GO:0031175)	2/167	0.11328924171373225	0.23397963265825977	0	0	3.575938489371325	7.787718425787768	STMN2;NYAP2
regulation of microtubule polymerization (GO:0031113)	1/35	0.11402053165072557	0.23397963265825977	0	0	8.605968858131488	18.686800643339396	STMN2
regulation of cardiac muscle contraction (GO:0055117)	1/35	0.11402053165072557	0.23397963265825977	0	0	8.605968858131488	18.686800643339396	STC1
neural crest cell development (GO:0014032)	1/35	0.11402053165072557	0.23397963265825977	0	0	8.605968858131488	18.686800643339396	SOX11
negative regulation of epithelial cell migration (GO:0010633)	1/35	0.11402053165072557	0.23397963265825977	0	0	8.605968858131488	18.686800643339396	STC1
positive regulation of osteoblast differentiation (GO:0045669)	1/35	0.11402053165072557	0.23397963265825977	0	0	8.605968858131488	18.686800643339396	SOX11
sulfur compound catabolic process (GO:0044273)	1/35	0.11402053165072557	0.23397963265825977	0	0	8.605968858131488	18.686800643339396	VCAN
regulation of blood circulation (GO:1903522)	1/36	0.11708251441891135	0.23656672144128754	0	0	8.359663865546219	17.930445246544526	CELF2
endoderm formation (GO:0001706)	1/36	0.11708251441891135	0.23656672144128754	0	0	8.359663865546219	17.930445246544526	COL11A1
sodium ion transmembrane transport (GO:0035725)	1/36	0.11708251441891135	0.23656672144128754	0	0	8.359663865546219	17.930445246544526	SCN3A
regulation of regulated secretory pathway (GO:1903305)	1/37	0.12013406773228928	0.23905466003293926	0	0	8.12704248366013	17.222397118954486	SYT14
